"handle","followers","following","retweet"
"TraffordFIS",2474,1711,false
"blackblocart",9,479,false
"robiciok",6,9,false
"LauraLeeLenhoff",23858,23739,false
"GlobalUnion3",215,29,false
"sobrewity",3,41,false
"Lovesack2",116,60,false
"esther59535847",2417,3347,false
"learnbettersex",29,193,false
"ethicsgirls",6541,7060,false
"hogpoisongg",33,55,false
"funnytee",608,614,false
"iamsameer777",106,55,false
"hongxincanary",24,59,false
"ezstorit",2118,2077,false
"LizSaldanaNYC",1495,1110,false
"HarpreetKhara",7702,1485,false
"RoshneeNarrande",1718,4997,false
"TheBookTweeters",237916,186397,false
"sarahr37",28,123,false
"AmyAvayou",55,120,false
"MayoClinicKids",3554,490,false
"SKTripleH",86,170,false
"petehavel",443,1072,false
"NwatchMrgame",17,38,false
"kristenhinkson",3908,2049,false
"disruptordavies",1988,4428,false
"Lovense",17227,807,false
"shanedgj",3769,2886,false
"RachelintheOC",115144,24247,false
"bernarddonoghue",5942,5359,false
"kaiserfritzxv",365,815,false
"EatsParsnips",44,171,false
"MyItalianCircle",99,187,false
"vanBCWilliam",2942,2751,false
"arogyaji",16,8,false
"LadyMarysBakery",1,11,false
"laurabrown20131",50,328,false
"BrendaPerrott",11636,12791,false
"RikiCarignan",83,264,false
"HolisticByKate",247,369,false
"BrendaPerrott",11636,12791,false
"jinnypatchfidel",308,216,false
"leadsails",453,2448,false
"NathanNgumi",2761,5001,false
"hardknoxfirst",6629,4601,false
"rufarodn",1292,747,false
"freeandclear1",10915,8629,false
"kathschmitt",281,750,false
"ChrisHelwig",295,114,false
"boywonder_brand",388,340,false
"LizSaldanaNYC",1495,1110,false
"BarbAdamsLIVE",961,1198,false
"giselleaguiar",2226,1519,false
"darrenmoore",2549,4861,false
"HarpreetKhara",7702,1485,false
"marshawright",563360,433883,false
"BooksandRosesCo",387,433,false
"HLCAlexandriaVA",163,285,false
"Louis_Garneau",9628,115,false
"YMBBastepaway",21327,20704,false
"cusslerOFFICIAL",10936,2,false
"JulieJa21177914",5241,5717,false
"brooklyncentre",6032,6625,false
"now_we_can",17180,16685,false
"A4Ny14",5566,6094,false
"LizSaldanaNYC",1495,1110,false
"marvqay",436,1684,false
"RenukaGarg",32,61,false
"tommycn19",144,231,false
"mfitzsimmons40",246,2405,false
"assistant_tips",3875,1278,false
"0103_T",82,177,false
"Ronnygoodbooks",3438,3434,false
"luckychisi",1005,2407,false
"NigelUNI",3996,4975,false
"DElizabethAyer1",6405,5871,false
"OneModernCouple",123196,113993,false
"maritxulanda",75,272,false
"YoSocialSmiths",490,764,false
"OccupyLondon",62396,3248,false
"ceilingfishdnp",319,577,false
"TreasurdSparrow",47,112,false
"amandahwithanh",107,353,false
"jrharrisonmph",4151,4955,false
"RashadaYesmin_",154,305,false
"MatoweGrace",115,118,false
"shethinksepic",4053,350,false
"bfc090500",975,2325,false
"bib_boards",369,681,false
"GaluxuryMusic",21,247,false
"nomanotnorman",80,159,false
"pcs_union",28616,809,false
"ConstellationCo",1433,822,false
"EalingHalf",6331,4977,false
"KaitlinBellamy",2031,2191,false
"Borrowell",5141,1788,false
"Brayhandelgado",838,1048,false
"DoomsDayDessert",60,841,false"handle","followers","following","retweet"
"OmahaLibrary",9567,1205,false
"brooklyncentre",6032,6625,false
"WarrenWhitlock",504232,335934,false
"WolvesNuffield",650,351,false
"HeyItzRare",172,420,false
"ftoruvanda",129,513,false
"HopHomes",25,43,false
"KrystalBallroom",1,20,false
"R_M_Mulder",4027,4536,false
"LizSaldanaNYC",1495,1110,false
"ealingeagles",2254,486,false
"FanXstitch",987,3076,false
"DorothyRosby",3016,2664,false
"TheBookTweeters",237916,186397,false
"patricia_shenan",118,328,false
"RexSaldana",24,40,false
"JessieBahrey",986,1805,false
"EHMLegacy",319,544,false
"AMakuyana",1705,1417,false
"intellectiv",116,711,false
"simbi_marlon",27,66,false
"Dancing_Bat",133,316,false
"andrewsylvia",95,119,false
"daimonia3",110,88,false
"JoelWCrofoot",5620,5266,false
"CdeNgoni",99,560,false
"justintroutman",2274,5000,false
"BixxMusic",24,62,false
"TheHPAlliance",39738,676,false
"Enviroscent",423,71,false
"athleticademy",85,527,false
"piasroswell",142,149,false
"FireMtnGems",21933,9762,false
"TipseeSpirits",16,72,false
"fayaz_king",25572,4713,false
"ToyotaMusicFac",2846,906,false
"limerockpark",8432,3551,false
"NyackNewsNViews",2559,789,false
"CatholicDigest",30615,713,false
"joanlemay",5243,838,false
"WeborroWb",9,109,false
"BestSlayer6",2,60,false
"DeclaroFox",221,149,false
"OphiraE",17033,1938,false
"MelCase9",18,222,false
"Phayd2Blaque",3201,4976,false
"ChurchesGreen",128,228,false
"navy29vet",0,0,false
"andy_rowell",1663,1627,false
"FireGoddessB",30576,27976,false
"emylou_78",50,71,false
"actuallyreal33",232,1306,false
"deanpeters",1383,981,false
"ManchInkLink",2490,2652,false
"ONOptometrists",1580,680,false
"_Kagh_",6781,4491,false
"navy29vet",0,0,false
"BookHelpForYou",431,363,false
"PaulCooneyKW",485,155,false
"LessPlasticUK",16250,1585,false
"bevdunne",237,484,false
"vromans",19551,1908,false
"LizSaldanaNYC",1495,1110,false
"AmericanDairyNE",4726,1142,false
"KMCW5",804,252,false
"aarushi31086104",13,39,false
