"handle","followers","following","retweet"
"WandaThibodeaux",3859,3754,false
"chance_henson",259,1163,false
"annaeverette16",1482,1229,false
"vannisantoni",14315,2835,false
"Swllwmzn",83,277,false
"kimbridges1987",505,1388,false
"TheBookTweeters",237916,186397,false
"debs3759",18,72,false
"BlissRob",3600,4670,false
"civanamador",522,459,false
"NicolaDay78",1199,1248,false
"ClassicalMel",4787,774,false
"chaotic_much",21,80,false
"RoffeyDave",113,198,false
"cswany2",19106,19981,false
"nomoregreed",18,133,false
"MKTGLinks",24,41,false
"MarielS88759922",984,733,false
"Time2Change7",1,13,false
"DrNoorUSHealth",153,764,false
"maher_marianne",41,52,false
"ChrisRoscoe15",217,457,false
"ChrisRoscoe15",217,457,false
"Jackcdawes",5023,5098,false
"FerranR3",173,92,false
"JamesJava",14890,16390,false
"bunglewheat",177,333,false
"From_Fiona",2402,3814,false
"Fsalt",2678,4908,false
"dakshapip",1479,4739,false
"EmDaniels",56,109,false
"Odin_twt",994,129,false
"GreenCap13",718,164,false
"LexiPrLtd",6602,7552,false
"soapboxjury",429,664,false
"MichaelMoran49",58,565,false
"liketechnik",218,650,false
"TwitManager_",1278,1282,false
"AshRite2",152,257,false
"INSTINC26289171",699,977,false
"BX3_Capital",430,678,false
"RiteBoss",1539,2511,false
"CLEANBOSS2",439,667,false
"SmartB0ss",494,763,false
"INSTINC26289171",699,977,false
"BGCSuncoast",282,699,false
"LondonThemis",317,636,false
"MtSinaiQueens",902,278,false
"bustybrown",55,265,false
"TinyWildOrchid",145,121,false
"THQureshi1",11719,3305,false
"Ziggie_zaggie",19805,19649,false
"BertiePunto",142,137,false
"tzempi",179,481,false
"Disasterific2",15,70,false
"mostxlnt",46,256,false
"eharmony_AU",1786,797,false
"PeskyScot",433,204,false
"Kingwolf84",568,1600,false
"Euler0Math",351,271,false
"QuotableRachel",478,503,false
"MarksBarfield",2117,1130,false
"NGA22298831",5,72,false
"Swartzchild",230,840,false
"rnaudmeunier",27536,25595,false
"AaseeOwl",1504,3112,false
"brianypaul",707,270,false
"wobblygreen",339,419,false
"SimBarker",101,107,false
"AppSecBloke",5771,501,false
"garvageart",592,433,false
"AaseeOwl",1504,3112,false
"AGM1966",91,721,false
"FromPage2Screen",14297,12550,false
"ExtinctionR",336946,24287,false
"Venture_CS",291,767,false
"Helpmates_Jobs",1889,2245,false
"AmerdianUS",182,287,false
"TheMixedJuices",1617,509,false
"Starry_Sparks25",132,312,false
"theCBDistillery",2198,333,false
"craftyvegangirl",7934,4718,false
"VICteap",100,902,false
"MollySt81422977",45,61,false
"nursingPUNC18",1300,1253,false
"jawsrecliner",2066,1804,false
"modchick61",502,1055,false
"SarabethPollock",2156,4097,false
"AzzurLabs",197,507,false
"impmarty",216,450,false
"cultureyyc",2588,270,false
"YouthCentralYYC",4760,1092,false
"yilmazgulgun35",90,190,false
"rots_ricky",713,1062,false
"buksmar",463,330,false
"sspencer",148259,75475,false"handle","followers","following","retweet"
"Sunchana1",714,791,false
"tommydsapper",443,723,false
"TheBookTweeters",237916,186397,false
"LookingPoint",1160,1170,false
"TheWriterMag",14919,994,false
"TheBookTweeters",237916,186397,false
"TipsyTotes",1086,1395,false
"channelkindness",4616,427,false
"DonttrustthemNo",110,106,false
"jasonjhunter1",29,122,false
"NeverlateTV",26,176,false
"jvbrockmann",25,122,false
"LakeshorePress",2325,2529,false
"ke_1sato",7798,869,false
"IichiroJingu",690,756,false
"LifeofaStudent8",3,22,false
"stanstallman1",667,1283,false
"MyNarbis",750,1059,false
"SandraEudave",21,376,false
"douglas_silva25",94,565,false
"marymorrissey",12369,600,false
"SparkyGary28",299,504,false
"reereephillips",2444,2332,false
"ramm2011",1805,1723,false
"fightingforfitn",74,210,false
"StatePointMedia",506,1043,false
"GetOptimized",336,236,false
"LeeHayward9",472,209,false
"kitkatb_1",1,64,false
"Ashton_Fitness",304,58,false
"LunaKathy",92,248,false
"AmrDigital",2071,2018,false
"Hardcorecoin",9203,9077,false
"RoxanneDenison",4040,4877,false
"lowrydental",886,205,false
"MichaelKirner",437,1468,false
"TheLounge_Mcr",478,601,false
"DominickAlbano3",2799,2743,false
"libertysafeinc",3494,1561,false
"mherma1979",91,419,false
"creoutreach",451,795,false
"TheTabooless",87,95,false
"bocahngapakya",8312,8233,false
"TheMixedJuices",1617,509,false
"luisa_digital",168,239,false
"mimich58",2042,3423,false
"wudelbolong",5257,7316,false
"taosurfers",170,411,false
"5stardoom",65,447,false
"CalgaryToday",7288,1030,false
"GeniusVets",207,381,false
"RustyandBoots",4719,5107,false
"eternalygratful",29,283,false
"RealNewChapter",46,180,false
"FedtheEffUp1",1261,2782,false
"DubichTatyana",696,735,false
"EvitaOchel",2509,40,false
"TheBookTweeters",237916,186397,false
"TrueNorthHR",34,158,false
"iamolganyc",247,545,false
"yanchike1",43,87,false
"GreensSpirits",1099,146,false
"GreensMB",3709,163,false
"marillion13",2316,3564,false
"marillion13",2316,3564,false
"GreensGville",8108,267,false
"assemblygreens",9207,238,false
"v_wickenden",165,196,false
"iamolganyc",247,545,false
"undrealness",13,27,false
"TheBookTweeters",237916,186397,false
"ralphkrahn1",433,1852,false
"An1982Neale",20,187,false
"PPIEglobal",482,2954,false
"FLHealthCitrus",248,165,false
"leilabnimble",20,83,false
"LitUpPages",155,864,false
"Zoe_Gippert",78,264,false
"mohillbilly",278,141,false
"WTCHealthPrgm",819,73,false
"lexaj42",87,256,false
"LiliWenFachKnit",140,93,false
"ghostcatbce",1464,2310,false
"nickfolio",1032,789,false
"stretchandbloom",4348,2922,false
"NegansMiz",1171,178,false
"FlairEventStaff",2385,423,false
"Dinbych_Cymru",742,492,false
"BarneyUoB",1480,618,false
"RockyKiddWriter",8755,8706,false
"HJMovingFarAway",3229,5007,false
"leeduance",931,159,false
"Slimming_Kttrng",2802,3720,false
"HairsteeUk",389,788,false
"Penny69298983",463,2039,false
"ClearanceJobs",26695,452,false"handle","followers","following","retweet"
"LaurelGarver",5015,4563,false
"NurseL23004537",42,56,false
"PTVACATIONS",1978,1947,false
"jamieworley",5961,2967,false
"lucky85xx1",9,23,false
"riseofbunny",293,475,false
"Mariloune",1934,1877,false
"Tam_Butterfly",75,134,false
"Raymond_Norman",49026,39219,false
"DKHERMAN3",6342,5200,false
"MrsGrimesGrant",715,332,false
"Mfnaughton",2461,1229,false
"hollidayalger",48,581,false
"MeaganHarrell",2503,1700,false
"louisagrogers",874,740,false
"AllSaintsPboro",469,650,false
"bbtmassagellc",156,2354,false
"Revengestarr",358,12,false
"Truthernonbot",1117,1471,false
"sed5788",124,486,false
"wendyldarling3",248,250,false
"melmerritt33",720,1111,false
"broteXRhuelva",185,262,false
"albertusdurerus",413,2392,false
"paralatierra",620,1057,false
"47Cardiff",1273,1721,false
"ArrowheadMagic",40,270,false
"caz_anda",1776,825,false
"learnbettersex",29,193,false
"Hana_Vys",131,105,false
"TurfMutt",1992,1805,false
"MarinaProse",1057,827,false
"TheBookTweeters",237916,186397,false
"Thefingsupreme",253,492,false
"bernardbull",5067,1298,false
"TheBookTweeters",237916,186397,false
"JohnMaksuta",432,721,false
"NFormulary",1530,3420,false
"NYSMPOD",49,34,false
"Educated517",754,556,false
"NFormulary",1530,3420,false
"fallows_helen",245,380,false
"QBCrystals",1183,1182,false
"rashfreeshave",0,22,false
"applysociology",216,49,false
"APICSELPJRZ",237,234,false
"chelleyLitman",1883,2006,false
"BillVe3",3,0,false
"wellivore",678,1135,false
"dramycitypets",422,191,false
"NJDietFatLoss",46,7,false
"TalkShoe",7488,6927,false
"cerave",8698,35,false
"routeofthesun",1630,1151,false
"CGABoxing",238,1194,false
"ExtinctionReb20",417,261,false
"glenlubbert",1506,1189,false
"RHTDaly",6323,5974,false
"10khrsgolf",0,0,false
"WeStudentNurse",9108,4064,false
"Uspiritus",611,888,false
"NFormulary",1530,3420,false
"nusoopretty",965,2645,false
"MissHappy75",667,598,false
"kkathcarrow",6139,6685,false
"CardiffCivicSoc",1051,497,false
"manishshahmd",1241,1584,false
"ecovibeuk",580,1166,false
"SeanOD2",46,84,false
"RobertEBlackmon",23699,3994,false
"RushMedical",22555,8899,false
"OlifanoNow",74,309,false
"Nextleveluc",640,765,false
"FromPage2Screen",14297,12550,false
"HamiltonJohnD",2620,2489,false
"BobMarsdale",7883,7550,false
"Bushbell",4860,3167,false
"LisaALitchfield",2176,2910,false
"ValindaYoga",7142,7724,false
"JJResists",1331,1877,false
"sommwine",2426,2126,false
"yassar_warsi",59,528,false
"GraceandMagic",1227,1288,false
"Peoples_BankTX",478,92,false
"ShopAppyUK",2920,4049,false
"AmandaGoodwinHC",1337,998,false
"1612Watchlist",1827,1064,false
"PeakrillChris",342,819,false
"souf2norf",445,487,false
"bjaycee",15840,13571,false
"albanyproject",1545,226,false
"alba_bazW",1677,4998,false
"DorothyRosby",3016,2664,false
"karynpalminteri",1776,1154,false
"WalkingRumor",230,273,false
"NYWFP",14666,2854,false
"blissbookapp",63,7,false
"rickyjohnston26",5046,4364,false
"StephenBentley8",14121,12459,false
"george24578501",17,74,false"handle","followers","following","retweet"
"george24578501",17,74,false
"LinarchyRebel",1241,5001,false
"SunageVlogs",2,0,false
"sonyairyna",5798,4729,false
"MarieSkelton",1474,2113,false
"EchoMarketingUS",3848,3247,false
"djalqattan",75,97,false
"BUexperts",7443,6950,false
"lifebylill",11,84,false
"karynpalminteri",1776,1154,false
"LAMPCHC_info",937,893,false
"virginpulse",7756,2490,false
"AlanCPermenter",41,18,false
"merchantsboc",223,158,false
"NYCHealthSystem",22261,2486,false
"mindoverlatte",328,209,false
"grandma_hockey",570,82,false
"SRMFertility",1194,478,false
"dera_kristine",135,670,false
"_hamayun_",73,97,false
"CorrectMarkham",775,634,false
"farahflor12",118,731,false
"TRGChessington",613,316,false
"NyxSkogen",119,417,false
"franbrealey",142,170,false
"JRD_FTW99",578,1203,false
"adelyn_king",420,2648,false
"SarahofGolding",1545,2071,false
"Joie51811833",68,125,false
"JordanAlaineFit",11,52,false
"ced003",398,799,false
"tophersimmons",692,462,false
"gibconsultancy",1093,1805,false
"TheHonestTake",349,373,false
"BangorStrike",228,283,false
"Caroline_writes",15098,11967,false
"ttimeadventures",105,228,false
"richard_laursen",49,116,false
"by_charlieberry",264,408,false
"TheBookTweeters",237916,186397,false
"DrSimonHill",417,289,false
"EssentiaToronto",676,934,false
"witinradio",4153,490,false
"PerimeterHealt1",101,105,false
"_JosephCole",147,386,false
"UncommonUp",28,63,false
"ambrosia_ca",1986,519,false
"RealeFood",962,232,false
"majidssurgery",804,2197,false
"KitchenhamVicky",797,1081,false
"beck_cp",12,53,false
"UnitedWayUtica",1367,500,false
"trustno169",548,664,false
"trustno169",548,664,false
"RachelintheOC",115144,24247,false
"AlejandroTeja17",39,85,false
"FarmersD37",22,35,false
"shannonlivia",69,730,false
"rosieogrady53",1102,959,false
"JasonBerger1",377,2071,false
"biofriendlyblog",9644,3177,false
"Global_Glutton",835,728,false
"PPCasting",5068,5282,false
"WomenOfLDN",1729,1421,false
"LRConsiderer",2384,1712,false
"LushLocks1",2745,3115,false
"tinyhousegifts",654,402,false
"Nick_Wilko_",1803,3485,false
"glittermethisco",38,211,false
"KKaaazz14",464,1292,false
"JamieZ137",114,1264,false
"DublinJob",154,15,false
"DublinJob",154,15,false
"herbivore_club",34086,11487,false
"TheBookTweeters",237916,186397,false
"ErrolSlater1",222,1722,false
"NonContactRugby",147,1817,false
"NukWildForest",1055,448,false
"Bfragrancefree",1583,2983,false
"DeLuca_Plastics",3,0,false
"SOliver2020",1479,1528,false
"yadadarcyyada",8442,8323,false
"sforce44",379,581,false
"FredericReid2",127,35,false
"mochibuni",121,106,false
"amrita_lackraj",324,169,false
"_corianderson",110,205,false
"stschultze",3190,3195,false
"yadadarcyyada",8442,8323,false
"Glassmammothuk",296,359,false
"AAPMR",3472,2063,false
"mmandmp_phones",41,102,false
"mmandmp_phones",41,102,false
"AgencyHynes",92,68,false
"procm2",20776,22914,false
"mmandmp_phones",41,102,false
"AgencyHynes",92,68,false
"StartingPoint_",854,735,false
"EvaEmelie01",67,294,false
"EcoCelebration",360,1179,false"handle","followers","following","retweet"
"TriangleCompou1",10,10,false
"greenleafrx",26,15,false
"MDCustomRx",19,3,false
"coachhealthier",16,61,false
"bxknits",3045,2257,false
"AgencyHynes",92,68,false
"GetOptixai",769,735,false
"GetAmpedai",283,1217,false
"GetGraderAide",928,71,false
"Habitat_Apts",65,0,false
"LinarchyRebel",1241,5001,false
"GuardioSecurity",30,68,false
"SarabethPollock",2156,4097,false
"AgencyHynes",92,68,false
"JBHooks",858,210,false
"miuwua",448,451,false
"Byoutifulparlor",6,9,false
"JhawkFire",4877,5089,false
"MoniqueJeCeo",285,315,false
"XRCaerdydd",641,562,false
"DataAugmented",785,1246,false
"localea_es",171,418,false
"mrallanlane",1260,1051,false
"RosendaleEvents",35,245,false
"UndeadWalkingFS",29399,10269,false
"TinaGK74",9,64,false
"mmandmp_food",30,62,false
"mmandmp_food",30,62,false
"mmandmp_food",30,62,false
"Buzz_from_HWG",217,417,false
"herbivore_club",34086,11487,false
"hellogadget_st",80,136,false
"PokerCenter",2704,3810,false
"ParadigmSanFran",1845,1405,false
"4PawShop",5368,3377,false
"RobertELZEY12",1196,3041,false
"huddahlin",747,997,false
"ParadigmMalibu",3886,2110,false
"actuallyreal33",232,1306,false
"MrGoodSmith",402,597,false
"Tuck79508553",1,4,false
"EHMLegacy",319,544,false
"_Aqilla_",1130,1277,false
"mmandmp_salt",113,206,false
"Trirunt",1227,4998,false
"mmandmp_salt",113,206,false
"mmandmp_salt",113,206,false
"RiednerD",730,983,false
"JaclynNJohnston",94,94,false
"LI2Miami",228,932,false
"silentseawolf",10036,9409,false
"belladip",133,453,false
"windchimes1010",623,844,false
"DrPaulFinucan",52,185,false
"Brissonte",57,48,false
"gilbertowgamboa",1456,3624,false
"Innrdreams",10358,11333,false
"LighthouseDent2",3760,1055,false
"broculy",10,96,false
"rosspjboyd",255,350,false
"amwillemsen1",833,563,false
"DorothyRosby",3016,2664,false
"GoinsRichie",779,1052,false
"shanidar4",1031,821,false
"SkinFoodShop_",0,0,false
"erikastdenis",66,350,false
"monyc727",3982,5000,false
"KarinaProbable",171,1425,false
"SceneCreep",4873,4396,false
"larryo49865970",357,707,false
"VariousStrata",606,688,false
"plantloverbarb",991,1034,false
"katys_old",949,280,false
"NeilLewisJr",7778,1105,false
"actuallyreal33",232,1306,false
"LiljaHenri",1,80,false
"RashadaWrites",7442,4491,false
"Katpa73",25418,16252,false
"Leah_W_88",553,595,false
"BrianSinkoff",1043,2071,false
"Dr_Ellie",25576,5919,false
"DublinJob",154,15,false
"DublinJob",154,15,false
"DublinJob",154,15,false
"DublinJob",154,15,false
"CupcakesHarmony",947,951,false
"SassyNeveragain",4115,4992,false
"TexasAppraisals",230,436,false
"magisternihil",1341,2160,false
"Ivy_Middleton",17252,6043,false
"mmandmp_drinks",71,151,false
"mmandmp_drinks",71,151,false
"mmandmp_drinks",71,151,false
"sue_hornbuckle",72,120,false
"AoifeHannon3",524,1459,false
"Kerry4taz",7407,8143,false
"Posibee1",525,895,false
"UNIQfw",810,483,false
"DrKant201",107,60,false
"nowthatslingeri",1567,375,false"handle","followers","following","retweet"
"SherryMacDona12",7324,7834,false
"EvitaOchel",2509,40,false
"7Atheist",381,481,false
"mmandmp_pro",56367,60121,false
"AgencyHynes",92,68,false
"herbivore_club",34086,11487,false
"teddyeddyo",1248,823,false
"MedfordFoodCoop",915,1571,false
"Big_Water_Tech",36,78,false
"american2084",37083,33624,false
"farahpopxo",2706,1669,false
"TheBookTweeters",237916,186397,false
"KidsMatter2U",2129,990,false
"AgencyHynes",92,68,false
"oktoquit",51,186,false
"GoSkybound",59,86,false
"SimplyLocalBank",1431,1520,false
"PeachtreePub",11442,2606,false
"TheBookTweeters",237916,186397,false
"ConciergeHomeS",1506,1484,false
"BujoJournal",43,0,false
"eLearningBros",13832,1708,false
"leesglass",310,525,false
"AZMediaMaven",1428,1449,false
"heatcool2",249,216,false
"finadv",31,31,false
"greenlightbklyn",39952,2325,false
"EncThelightbulb",51,107,false
"placement_media",0,2,false
"FancyHands",4888,1875,false
"DrKathleenHall",39910,891,false
"mindfulnetwork",1820,1221,false
"Quotablebychar1",28,4,false
"herbivore_club",34086,11487,false
"skellyskills",5010,2592,false
"BBBUpstateNY",885,519,false
"SupermanDuffy",409,1096,false
"alohaiamleilani",3498,3433,false
"OxfordEssayDoc",2196,2275,false
"Crystal_PCG",57,183,false
"BocqWilliam",39,40,false
"LaraQuinn15",1311,2593,false
"techy_zone",23,89,false
"karanewyork",43,21,false
"DBtheStorytellr",172,145,false
"DawnRossAuthor",116,148,false
"loomischaffee",5713,675,false
"MatthewMson",242,894,false
"MissMillMag",14183,14268,false
"alotofgoodness",930,1245,false
"FatBottom50s",8602,7725,false
"NBTalent",4569,2212,false
"mmandmp_tweet",95,172,false
"mmandmp_tweet",95,172,false
"mmandmp_tweet",95,172,false
"OhItsNutMeg",297,41,false
"KauaiVacRentals",1813,2038,false
"AAAStateOfPlay",1479,2352,false
"sle3va",1487,1001,false
"HeartAlabama",2839,2646,false
"AgencyHynes",92,68,false
"jezzy_01",3654,4237,false
"MelissaRoske",4292,1653,false
"One_MoreChild",1313,353,false
"Finding_40rty",1,20,false
"DeesideWater",5064,3575,false
"authorevadeli",1239,639,false
"AgencyHynes",92,68,false
"kettynose",18,95,false
"TheDude1321",344,710,false
"bam1324",82,107,false
"red_loeb",3517,1884,false
"mmandmp_vpn",27,60,false
"mmandmp_vpn",27,60,false
"mmandmp_vpn",27,60,false
"GayleJ5",0,0,false
"AgencyHynes",92,68,false
"ClanBellNA",47,195,false
"stepsnewyork",171,35,false
"MindscopeATS",478,605,false
"AgencyHynes",92,68,false
"closepassescdf",676,1014,false
"ewomenssuits",1720,4975,false
"MATruman",1659,168,false
"lorenweisman",4338,995,false
"EM_Krockow",1674,1002,false
"mrmdhaynes",959,2615,false
"BananaPlant",189,646,false
"TheBookTweeters",237916,186397,false
"Nadi_aquarius",17381,14933,false
"VinniGee",1357,748,false
"vivaeditions",4762,3147,false
"PT_OT_Subjectiv",529,511,false
"audreyrsutton",643,1835,false
"ReviveFMUK",380,0,false
"xitham_rhongi",214,312,false
"Impact_bydesign",339,719,false
"1612Watchlist",1827,1064,false
"KPF_4kids",53,39,false
"Royal_S_Realty",17,36,false"handle","followers","following","retweet"
"_alethiah",4,8,false
"ColinSteed",4956,709,false
"MMcLaughlinMD",557,428,false
"Kruggelnomics",254,188,false
"cemasvlc",571,519,false
"MediaOracle",1339,1673,false
"mmandmp_skittle",82,144,false
"mmandmp_skittle",82,144,false
"mmandmp_skittle",82,144,false
"OHAOregon",6366,1484,false
"LizSaldanaNYC",1495,1110,false
"fl_west",239,203,false
"voicepowr2",649,558,false
"spokaneschools",5720,1046,false
"GmanDraws",232,417,false
"guystenson",1992,4072,false
"LauraLaLaHarvey",299,1567,false
"danielhuman",4867,1984,false
"Stef_Helen",5169,2002,false
"ChastenAnne",173,519,false
"apeef",930,467,false
"british_eng_ks",26,192,false
"DrMarciEads",27,184,false
"CCFWsgf",311,303,false
"BarOpus",3379,777,false
"twinklresources",30951,4255,false
"Kjordan_911",184,482,false
"LexieMalico",177,334,false
"AirflowMusicNYC",97,112,false
"TheBookTweeters",237916,186397,false
"AndrzejMezynski",1960,1928,false
"XR_Newport",301,268,false
"AmbroseBarnaby",1190,1338,false
"JimmyBear2",13999,13474,false
"AndrzejLabedzki",1286,1164,false
"XR_Newport",301,268,false
"Carolin55760793",371,273,false
"PureFarmland",45,22,false
"peacemomma67",4338,4115,false
"CrownRelo",1726,543,false
"PollinateNet",163,540,false
"Carla32189368",89,129,false
"F_F_Flora",7027,323,false
"JocelynGCook",1126,1069,false
"r_luba",1240,1891,false
"steamys",533,225,false
"HomeZada",9906,7713,false
"nicdafis",2354,999,false
"mmandmp_yid",30,89,false
"mmandmp_yid",30,89,false
"mmandmp_yid",30,89,false
"savedroidHQ",7818,582,false
"MsMedicine",561,1166,false
"DrEiriniKontou",391,433,false
"SaraTheIceBerg",847,1021,false
"littlewhiteocto",385,437,false
"DrNavPaul",1349,2259,false
"SleepyBella247",138,273,false
"JosephNSanberg",117144,4412,false
"HitMyth",122,114,false
"westedgeseattle",111,417,false
"GoughGough5",123,116,false
"StaybridgeMCO",337,307,false
"HealingHavenABA",137,334,false
"Dunham_Lab",357,180,false
"lauriescott99",1072,1507,false
"PasswordsFast",559,4921,false
"diane_romaine",275,215,false
"TCAsolutions",763,964,false
"SarumCollege",2078,1070,false
"JSABuilder",324,588,false
"axobotl",1160,7,false
"BlueMoon_Runs",1066,1333,false
"ChewytheSeal",5196,473,false
"LatimoreAmanda",444,425,false
"HCIFonline",241,376,false
"OmegaQuant",620,852,false
"chick_canon",183,35,false
"Psoriasischamp",2385,1935,false
"MiFBInstitute",82,299,false
"mmandmp_pro",56367,60121,false
"mmandmp_pro",56367,60121,false
"mmandmp_pro",56367,60121,false
"1800HURTNOW",12763,5981,false
"Carla32189368",89,129,false
"MoreenAndPamela",28,17,false
"saving4college",9724,2978,false
"millionbynextyr",85,289,false
"fructose_addict",2,12,false
"Shen_Ntwari",58,118,false
"TSFinsurance",63,121,false
"bcmhouston",19052,1515,false
"guidegti",1475,1364,false
"voyageyouth",839,900,false
"KirstenAlana",25665,7631,false
"AthTrnCtr",485,29,false
"BCMHouston_News",1650,937,false
"fightingforfitn",74,210,false
"monitor_PH",952,92,false
"NIDAnews",49437,251,false"handle","followers","following","retweet"
"atlonghurst",405,519,false
"MaluTansey",959,858,false
"rudejude91",582,754,false
"LindaKonop",1216,1210,false
"sagemuseevents",747,500,false
"HarbingerMLEC",1448,710,false
"Drazek89",104,462,false
"faceitabuse",1113,1774,false
"nsaidian",16912,12055,false
"BradfordEms",31,126,false
"FilippoCavassi1",942,1099,false
"Writingculture",482,729,false
"wMIlkcD4y58dBva",58,184,false
"HCSCCareers",774,634,false
"earthcalm",864,2035,false
"TheBookTweeters",237916,186397,false
"LewdRewdDewd",1323,634,false
"jenniferbrabson",1454,2199,false
"mrsdlewis2",524,479,false
"TheNeuroNinja",296,439,false
"bikinibodydiet",7079,6913,false
"SJMRealEstate",45,85,false
"Yina28077684",65,54,false
"NAEEnet",274,165,false
"WOMENHealthAlly",1139,5000,false
"folkdoc8",3263,4994,false
"camizha1",43,28,false
"MagellanRealty",204,62,false
"alexisphilips2",99,44,false
"umrelief",1291,201,false
"melissa_steel",60,56,false
"karolseths",74,26,false
"CrystalClearBW",189,602,false
"gabrilwillmart",102,48,false
"cmudd19",732,1064,false
"rjpark",17316,6580,false
"OCDeidre",896,544,false
"ModernAfflatus",421,972,false
"JoshWilsonPOP",260,398,false
"PennMBDS",537,320,false
"wspickerman",1167,1409,false
"tombell93",366,556,false
"LakesStreams",29,60,false
"LyonCoTransit",8,111,false
"mtnpoet",3303,2979,false
"GoldCrowCo",210,319,false
"CorkFrench",820,377,false
"MariaKatsarou",967,1474,false
"UmbrellaHealth",1076,251,false
"ChuckPuga",267,239,false
"Regina_Herhoff",421,580,false
"FrenchlyDoesIt",1892,955,false
"DamuthTrane",117,154,false
"HealingHeatThpy",3074,5001,false
"lovick_lucy",44,113,false
"Steakcenter",9,10,false
"de519n",463,1812,false
"aurasoma_",738,399,false
"Shower_Logic",2610,6,false
"AUG_Health",4335,501,false
"Out_For_Sport",565,309,false
"TheBookTweeters",237916,186397,false
"Samido_comedian",1225,2858,false
"builtbybrosco",1592,1463,false
"blkdiamondcr",76,182,false
"CharlotteMag",85718,554,false
"MutunusTu",18,223,false
"TheStudioFORM",28,99,false
"ThinkToLinkInc",92,100,false
"IWFAinfo",1986,903,false
"g8omb",38,97,false
"fullertribe",270,259,false
"VIPfloridastrip",28,109,false
"rey_ocean",3201,4055,false
"TheBookTweeters",237916,186397,false
"BoomingEncore",7789,6362,false
"mikedohsays",341,1178,false
"UhnPharmacy",227,185,false
"mikedohsays",341,1178,false
"LondonUnityLg",353,50,false
"iamGeeCLAY",1369,913,false
"L0ndonisL0vinit",756,5004,false
"matt18matt11",130,1407,false
"KimMcMahill",2151,1741,false
"TomorrowsFace",25,75,false
"Thobava",2975,1669,false
"JanetSketchley",1143,962,false
"JacksonAction19",481,816,false
"OrganicMoni",1009,29,false
"MeridianTint",7,39,false
"TheGingerMouse1",595,1273,false
"WoWBTV",154,120,false
"CmjStudio",266,470,false
"WoWBTV",154,120,false
"WoWBTV",154,120,false
"OhioDFI",111,123,false
"RadioInfluence",22624,67,false
"CaTessaJones",185,781,false
"LizSaldanaNYC",1495,1110,false
"owlsflowerbooks",3720,2486,false"handle","followers","following","retweet"
"TheBookTweeters",237916,186397,false
"BinusTV",13443,211,false
"fjbeecher",3644,2830,false
"KarenGoslinRSW",271,67,false
"swissbusiness",94224,101916,false
"MagicalSpain",1009,2661,false
"itschrisworrall",3442,3435,false
"WoWBTV",154,120,false
"Verein_MUSEDU",213,1073,false
"GeoffHampton",10256,9105,false
"Lincolnlover357",652,305,false
"MelanieMoses111",1783,2669,false
"May_ZJM",10,96,false
"Whateva691",12,17,false
"Agent_ANAKIN",90,65,false
"Silva82499596",32,25,false
"aareccom",34,56,false
"ighaworth",1302,2843,false
"SpeakingBipolar",9112,9640,false
"StarfleetCaptn",178,206,false
"smwebster",985,1136,false
"1ws_com",215,4,false
"SGVibrations",1023,1303,false
"SGVibrations",1023,1303,false
"Prosper_Kenn",1410,24,false
"MarkASchrader",814,1059,false
"spgolfacademy",163,81,false
"sam_austin14",2243,2071,false
"DervisSalih1",2344,4999,false
"JetHardinge",304,432,false
"t3V86HdVkCVP7oK",2336,4002,false
"FiStarStone",10777,2482,false
"euphrosene",2205,1322,false
"kazybott",1236,1200,false
"LlamauUK",11332,5156,false
"jbodrozic",126,194,false
"mindoverlatte",328,209,false
"TheBeautyMaven_",174,505,false
"ladypeg3",151,723,false
"BLIST_cartoons",875,365,false
"SohoResidenceUK",1000,1205,false
"dgldemocrat",13848,581,false
"PolyPossum",156,103,false
"DonegalNowNews",7734,526,false
"SiobhanNews",2218,4796,false
"Filip65436672",30,18,false
"NottsFolkdance",56,110,false
"classicalfix",634,710,false
"fruggy888",1439,1339,false
"Aladinsane40",588,1053,false
"aj_monetorb",1572,2913,false
"DalyRecruitment",307,665,false
"glitzmediaco",315,145,false
"appearancebased",1138,749,false
"Healthskills",2006,1040,false
"Posters2F",6,48,false
"MrsRodial",6917,420,false
"LarryWi35356168",40,639,false
"lightb4sound",838,662,false
"Juvelad",5264,5806,false
"SohoFC",3440,4507,false
"AngieMartaCis1",14,226,false
"SbitnevaValay",22520,9287,false
"MikeEngland87",220,651,false
"1612Watchlist",1827,1064,false
"melfisherbforb",1708,1909,false
"micheleveldsman",2797,1723,false
"Oranguerillatan",139,856,false
"YSA__O",111704,111754,false
"jacklstaley",1,6,false
"ExxaNemesisita",316,176,false
"kilkennyai",167,400,false
"JimKruger7",13957,15201,false
"lovecreategrow",652,1694,false
"JuandoGispert",351,1392,false
"KATYSWITNESS_",128,203,false
"drjanaway",33146,18197,false
"Kyusho_Romania",11131,13821,false
"DerekDryden",274,237,false
"LanguageIsFun",1431,782,false
"datamarketsvc",212,192,false
"melantheran",434,1643,false
"CraigTaylor74",3224,115,false
"M_Malpetti",140,223,false
"SelinaWray",3755,1871,false
"Football_Head2",2850,187,false
"jmschott",1914,386,false
"MarcBrightside",358,464,false
"xr_bot",359,0,false
"ana_captures",1217,2471,false
"ATLondonUK",1956,2177,false
"cynthiavanzella",680,309,false
"gappy_pirate",203,496,false
"greeborunner",1628,778,false
"ajphotoinfo",1031,33,false
"MIDinbych",2557,1737,false
"XRCardiff",3572,2451,false
